developer,genre,release_date,review_critic,review_grade,seperate_reviews,title,user_score
Bethesda Game Studios,Role-Playing,"Mar 22, 2016",COGconnected,80,69,Fallout 4: Automatron,6.4
Bethesda Game Studios,Role-Playing,"Mar 22, 2016",GameGrin,75,69,Fallout 4: Automatron,6.4
Bethesda Game Studios,Role-Playing,"Mar 22, 2016",Critical Hit,70,69,Fallout 4: Automatron,6.4
Bethesda Game Studios,Role-Playing,"Mar 22, 2016",InsideGamer.nl,70,69,Fallout 4: Automatron,6.4
Bethesda Game Studios,Role-Playing,"Mar 22, 2016",Gameblog.fr,70,69,Fallout 4: Automatron,6.4
Bethesda Game Studios,Role-Playing,"Mar 22, 2016",Push Square,70,69,Fallout 4: Automatron,6.4
Bethesda Game Studios,Role-Playing,"Mar 22, 2016",GameCritics,65,69,Fallout 4: Automatron,6.4
Bethesda Game Studios,Role-Playing,"Mar 22, 2016",IGN Spain,65,69,Fallout 4: Automatron,6.4
Bethesda Game Studios,Role-Playing,"Mar 22, 2016",PlayStation Universe,65,69,Fallout 4: Automatron,6.4
Bethesda Game Studios,Role-Playing,"Mar 22, 2016",RPG Site,60,69,Fallout 4: Automatron,6.4
Gunfire Games,Action Adventure,"Oct 30, 2015",Digital Chumps,86,72,Darksiders II: Deathinitive Edition,7.3
Gunfire Games,Action Adventure,"Oct 30, 2015",PlayStation Universe,85,72,Darksiders II: Deathinitive Edition,7.3
Gunfire Games,Action Adventure,"Oct 30, 2015",Worth Playing,80,72,Darksiders II: Deathinitive Edition,7.3
Gunfire Games,Action Adventure,"Oct 30, 2015",Twinfinite,80,72,Darksiders II: Deathinitive Edition,7.3
Gunfire Games,Action Adventure,"Oct 30, 2015",Atomix,80,72,Darksiders II: Deathinitive Edition,7.3
Gunfire Games,Action Adventure,"Oct 30, 2015",Slant Magazine,80,72,Darksiders II: Deathinitive Edition,7.3
Gunfire Games,Action Adventure,"Oct 30, 2015",GamingTrend,80,72,Darksiders II: Deathinitive Edition,7.3
Gunfire Games,Action Adventure,"Oct 30, 2015",Push Square,80,72,Darksiders II: Deathinitive Edition,7.3
Gunfire Games,Action Adventure,"Oct 30, 2015",Multiplayer.it,78,72,Darksiders II: Deathinitive Edition,7.3
Gunfire Games,Action Adventure,"Oct 30, 2015",CGMagazine,75,72,Darksiders II: Deathinitive Edition,7.3
Gunfire Games,Action Adventure,"Oct 30, 2015",Meristation,75,72,Darksiders II: Deathinitive Edition,7.3
Gunfire Games,Action Adventure,"Oct 30, 2015",IGN,75,72,Darksiders II: Deathinitive Edition,7.3
Gunfire Games,Action Adventure,"Oct 30, 2015",GameOver.gr,70,72,Darksiders II: Deathinitive Edition,7.3
Gunfire Games,Action Adventure,"Oct 30, 2015",Gamers' Temple,70,72,Darksiders II: Deathinitive Edition,7.3
Gunfire Games,Action Adventure,"Oct 30, 2015",The Digital Fix,70,72,Darksiders II: Deathinitive Edition,7.3
Gunfire Games,Action Adventure,"Oct 30, 2015",Game Revolution,70,72,Darksiders II: Deathinitive Edition,7.3
Gunfire Games,Action Adventure,"Oct 30, 2015",Eurogamer Italy,70,72,Darksiders II: Deathinitive Edition,7.3
