note,developer,genre,release_date,review_critic,review_grade,seperate_reviews,title,user_score
143,TianShe Media,Adventure,27-Oct-16,GameSpew,40,32,Weeping Doll,2.7
144,TianShe Media,Adventure,27-Oct-16,Gameblog.fr,40,32,Weeping Doll,2.7
145,TianShe Media,Adventure,27-Oct-16,PSNStores,40,32,Weeping Doll,2.7
146,TianShe Media,Adventure,27-Oct-16,GameCritics,40,32,Weeping Doll,2.7
147,TianShe Media,Adventure,27-Oct-16,DarkZero,40,32,Weeping Doll,2.7
148,TianShe Media,Adventure,27-Oct-16,PlayStation LifeStyle,40,32,Weeping Doll,2.7
149,TianShe Media,Adventure,27-Oct-16,PlayStation Universe,40,32,Weeping Doll,2.7
150,TianShe Media,Adventure,27-Oct-16,COGconnected,30,32,Weeping Doll,2.7
151,TianShe Media,Adventure,27-Oct-16,God is a Geek,30,32,Weeping Doll,2.7
152,TianShe Media,Adventure,27-Oct-16,ZTGD,30,32,Weeping Doll,2.7
153,TianShe Media,Adventure,27-Oct-16,Push Square,30,32,Weeping Doll,2.7
154,different cloth,Racing,13-Dec-16,PlayStation LifeStyle,80,59,Drive!Drive!Drive!,5
155,different cloth,Racing,13-Dec-16,DualShockers,75,59,Drive!Drive!Drive!,5
156,different cloth,Racing,13-Dec-16,3DJuegos,65,59,Drive!Drive!Drive!,5
157,Bethesda Game Studios,Role-Playing,22-Mar-16,Twinfinite,100,69,Fallout 4: Automatron,6.4
158,Bethesda Game Studios,Role-Playing,22-Mar-16,Gaming Nexus,80,69,Fallout 4: Automatron,6.4
159,Bethesda Game Studios,Role-Playing,22-Mar-16,IGN Denmark,80,69,Fallout 4: Automatron,6.4
160,Bethesda Game Studios,Role-Playing,22-Mar-16,Game Rant,80,69,Fallout 4: Automatron,6.4
161,Bethesda Game Studios,Role-Playing,22-Mar-16,COGconnected,80,69,Fallout 4: Automatron,6.4
162,Bethesda Game Studios,Role-Playing,22-Mar-16,GameGrin,75,69,Fallout 4: Automatron,6.4
163,Bethesda Game Studios,Role-Playing,22-Mar-16,Critical Hit,70,69,Fallout 4: Automatron,6.4
164,Bethesda Game Studios,Role-Playing,22-Mar-16,InsideGamer.nl,70,69,Fallout 4: Automatron,6.4
165,Bethesda Game Studios,Role-Playing,22-Mar-16,Gameblog.fr,70,69,Fallout 4: Automatron,6.4
166,Bethesda Game Studios,Role-Playing,22-Mar-16,Push Square,70,69,Fallout 4: Automatron,6.4
167,Bethesda Game Studios,Role-Playing,22-Mar-16,GameCritics,65,69,Fallout 4: Automatron,6.4
168,Bethesda Game Studios,Role-Playing,22-Mar-16,IGN Spain,65,69,Fallout 4: Automatron,6.4
169,Bethesda Game Studios,Role-Playing,22-Mar-16,PlayStation Universe,65,69,Fallout 4: Automatron,6.4
170,Bethesda Game Studios,Role-Playing,22-Mar-16,RPG Site,60,69,Fallout 4: Automatron,6.4
171,Gunfire Games,Action Adventure,30-Oct-15,Digital Chumps,86,72,Darksiders II: Deathinitive Edition,7.3
172,Gunfire Games,Action Adventure,30-Oct-15,PlayStation Universe,85,72,Darksiders II: Deathinitive Edition,7.3
173,Gunfire Games,Action Adventure,30-Oct-15,Worth Playing,80,72,Darksiders II: Deathinitive Edition,7.3
174,Gunfire Games,Action Adventure,30-Oct-15,Twinfinite,80,72,Darksiders II: Deathinitive Edition,7.3
