developer,genre,release_date,review_critic,review_grade,seperate_reviews,title,user_score
Konami,Sports,13-Sep-16,Critical Hit,90,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,We Got This Covered,90,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,PlayStation LifeStyle,90,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,Metro GameCentral,90,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,GamesRadar+,90,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,XGN,90,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,IGN Sweden,90,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,Everyeye.it,90,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,InsideGamer.nl,89,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,Vandal,89,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,The Games Machine,88,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,LaPS4,87,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,Atomix,86,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,TrueGaming,86,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,SpazioGames,86,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,IGN Spain,85,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,Gamer.nl,85,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,3DJuegos,85,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,Hobby Consolas,85,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,4Players.de,85,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,games(TM),85,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,USgamer,82,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,EGM,80,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,IBTimes UK,80,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,GameSpot,80,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,Telegraph,80,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,Guardian,80,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,TheSixthAxis,80,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,Eurogamer Italy,80,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,JeuxActu,80,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,Trusted Reviews,80,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,Gameblog.fr,80,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,Gaming Age,80,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,Forbes,80,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,Merlin'in Kazanı (Turkey),80,85,Pro Evolution Soccer 2017,7.3
Rocky Studio,Action,6-Mar-18,Wccftech,90,85,DJMax Respect,7.8
Rocky Studio,Action,6-Mar-18,God is a Geek,90,85,DJMax Respect,7.8
Rocky Studio,Action,6-Mar-18,CGMagazine,90,85,DJMax Respect,7.8
Rocky Studio,Action,6-Mar-18,Hardcore Gamer,90,85,DJMax Respect,7.8
Rocky Studio,Action,6-Mar-18,Destructoid,90,85,DJMax Respect,7.8
Rocky Studio,Action,6-Mar-18,Jeuxvideo.com,85,85,DJMax Respect,7.8
Rocky Studio,Action,6-Mar-18,Meristation,85,85,DJMax Respect,7.8
"SquareSoft, Square Enix",Role-Playing,19-Sep-17,DualShockers,95,85,Final Fantasy IX,8.4
"SquareSoft, Square Enix",Role-Playing,19-Sep-17,Cubed3,90,85,Final Fantasy IX,8.4
"SquareSoft, Square Enix",Role-Playing,19-Sep-17,Destructoid,90,85,Final Fantasy IX,8.4
"SquareSoft, Square Enix",Role-Playing,19-Sep-17,Push Square,90,85,Final Fantasy IX,8.4
"SquareSoft, Square Enix",Role-Playing,19-Sep-17,Vandal,90,85,Final Fantasy IX,8.4
"SquareSoft, Square Enix",Role-Playing,19-Sep-17,IGN Spain,90,85,Final Fantasy IX,8.4
"SquareSoft, Square Enix",Role-Playing,19-Sep-17,3DJuegos,85,85,Final Fantasy IX,8.4
"SquareSoft, Square Enix",Role-Playing,19-Sep-17,GamingTrend,85,85,Final Fantasy IX,8.4
"SquareSoft, Square Enix",Role-Playing,19-Sep-17,Impulsegamer,82,85,Final Fantasy IX,8.4
"SquareSoft, Square Enix",Role-Playing,19-Sep-17,DarkZero,80,85,Final Fantasy IX,8.4
"Psyonix, Panic Button",Racing,7-Jul-15,Sporting News,100,85,Rocket League,8.5
"Psyonix, Panic Button",Racing,7-Jul-15,Telegraph,100,85,Rocket League,8.5
"Psyonix, Panic Button",Racing,7-Jul-15,The Jimquisition,95,85,Rocket League,8.5
"Psyonix, Panic Button",Racing,7-Jul-15,GamesBeat,93,85,Rocket League,8.5
"Psyonix, Panic Button",Racing,7-Jul-15,GamesVillage.it,92,85,Rocket League,8.5
"Psyonix, Panic Button",Racing,7-Jul-15,PSX Extreme,90,85,Rocket League,8.5
"Psyonix, Panic Button",Racing,7-Jul-15,PLAY! Zine,90,85,Rocket League,8.5
"Psyonix, Panic Button",Racing,7-Jul-15,games(TM),90,85,Rocket League,8.5
"Psyonix, Panic Button",Racing,7-Jul-15,DarkZero,90,85,Rocket League,8.5
"Psyonix, Panic Button",Racing,7-Jul-15,Game Revolution,90,85,Rocket League,8.5
"Psyonix, Panic Button",Racing,7-Jul-15,Atomix,90,85,Rocket League,8.5
"Psyonix, Panic Button",Racing,7-Jul-15,Game Informer,90,85,Rocket League,8.5
"Psyonix, Panic Button",Racing,7-Jul-15,GameSpot,90,85,Rocket League,8.5
"Psyonix, Panic Button",Racing,7-Jul-15,Destructoid,90,85,Rocket League,8.5
"Psyonix, Panic Button",Racing,7-Jul-15,Push Square,90,85,Rocket League,8.5
"Psyonix, Panic Button",Racing,7-Jul-15,PlayStation LifeStyle,90,85,Rocket League,8.5
"Psyonix, Panic Button",Racing,7-Jul-15,Multiplayer.it,90,85,Rocket League,8.5
"Psyonix, Panic Button",Racing,7-Jul-15,TheSixthAxis,90,85,Rocket League,8.5
"Psyonix, Panic Button",Racing,7-Jul-15,Metro GameCentral,90,85,Rocket League,8.5
"Psyonix, Panic Button",Racing,7-Jul-15,COGconnected,90,85,Rocket League,8.5
"Psyonix, Panic Button",Racing,7-Jul-15,IGN Spain,90,85,Rocket League,8.5
"Psyonix, Panic Button",Racing,7-Jul-15,3DJuegos,86,85,Rocket League,8.5
"Psyonix, Panic Button",Racing,7-Jul-15,Gameplanet,85,85,Rocket League,8.5
"Psyonix, Panic Button",Racing,7-Jul-15,GamingTrend,85,85,Rocket League,8.5
"Psyonix, Panic Button",Racing,7-Jul-15,PlayStation Universe,85,85,Rocket League,8.5
"Psyonix, Panic Button",Racing,7-Jul-15,Hobby Consolas,85,85,Rocket League,8.5
"Psyonix, Panic Button",Racing,7-Jul-15,IGN Italia,85,85,Rocket League,8.5
"Psyonix, Panic Button",Racing,7-Jul-15,Brash Games,83,85,Rocket League,8.5
"Psyonix, Panic Button",Racing,7-Jul-15,Games.cz,83,85,Rocket League,8.5
"Psyonix, Panic Button",Racing,7-Jul-15,Eurogamer Italy,82,85,Rocket League,8.5
"Psyonix, Panic Button",Racing,7-Jul-15,Gameblog.fr,80,85,Rocket League,8.5
"Psyonix, Panic Button",Racing,7-Jul-15,Gamer.no,80,85,Rocket League,8.5
"Psyonix, Panic Button",Racing,7-Jul-15,EGM,80,85,Rocket League,8.5
"Psyonix, Panic Button",Racing,7-Jul-15,Vandal,80,85,Rocket League,8.5
"Psyonix, Panic Button",Racing,7-Jul-15,Vandal,80,85,Rocket League,8.5
"Psyonix, Panic Button",Racing,7-Jul-15,Toronto Sun,80,85,Rocket League,8.5
"Psyonix, Panic Button",Racing,7-Jul-15,XGN,80,85,Rocket League,8.5
"Psyonix, Panic Button",Racing,7-Jul-15,IGN,80,85,Rocket League,8.5
"Psyonix, Panic Button",Racing,7-Jul-15,Everyeye.it,80,85,Rocket League,8.5
"Psyonix, Panic Button",Racing,7-Jul-15,We Got This Covered,80,85,Rocket League,8.5
Team Ninja,Role-Playing,26-Sep-17,Destructoid,90,85,Nioh: Bloodshed's End,6.9
Team Ninja,Role-Playing,26-Sep-17,XGN,85,85,Nioh: Bloodshed's End,6.9
Team Ninja,Role-Playing,26-Sep-17,Critical Hit,85,85,Nioh: Bloodshed's End,6.9
Team Ninja,Role-Playing,26-Sep-17,Multiplayer.it,85,85,Nioh: Bloodshed's End,6.9
DONTNOD Entertainment,Sci-Fi,20-Oct-15,EGM,95,85,Life is Strange,8.6
DONTNOD Entertainment,Sci-Fi,20-Oct-15,GamingTrend,95,85,Life is Strange,8.6
DONTNOD Entertainment,Sci-Fi,20-Oct-15,Gaming Age,91,85,Life is Strange,8.6
DONTNOD Entertainment,Sci-Fi,20-Oct-15,Eurogamer Italy,90,85,Life is Strange,8.6
DONTNOD Entertainment,Sci-Fi,20-Oct-15,Washington Post,90,85,Life is Strange,8.6
DONTNOD Entertainment,Sci-Fi,20-Oct-15,Hardcore Gamer,90,85,Life is Strange,8.6
DONTNOD Entertainment,Sci-Fi,20-Oct-15,IGN Italia,90,85,Life is Strange,8.6
